LearningStyle,CareerGoal,Preferences,AcademicLevel,Module,Cours_Recommandé
Lecture/Écriture,Data Scientist,Mathématiques,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Auditif,Software Architect,IA,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cloud Engineer,Mathématiques,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Cybersecurity Expert,Systèmes embarqués,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,DevOps Engineer,Programmation,Master 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Data Scientist,Mathématiques,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Cybersecurity Expert,Systèmes embarqués,Licence 2,Cloud Computing,AWS Solutions Architect
Visuel,Cybersecurity Expert,Systèmes embarqués,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,DevOps Engineer,Programmation,Licence 2,Cloud Computing,AWS Solutions Architect
Visuel,Cloud Engineer,IA,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,DevOps Engineer,IA,Licence 1,Développement Web,React.js et Node.js
Lecture/Écriture,Data Scientist,Programmation,Licence 2,Développement Web,React.js et Node.js
Visuel,Software Architect,Programmation,Master 2,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Data Scientist,Programmation,Licence 2,Cloud Computing,AWS Solutions Architect
Visuel,Cybersecurity Expert,Systèmes embarqués,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,DevOps Engineer,IA,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Data Scientist,Mathématiques,Master 1,Machine Learning,Deep Learning avec TensorFlow
Auditif,Data Scientist,Programmation,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Software Architect,Systèmes embarqués,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Data Scientist,IA,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cybersecurity Expert,Sécurité,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Software Architect,Systèmes embarqués,Master 2,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Cloud Engineer,Programmation,Licence 2,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Data Scientist,Systèmes embarqués,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Visuel,Data Scientist,IA,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Cybersecurity Expert,Systèmes embarqués,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,DevOps Engineer,IA,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Visuel,Cybersecurity Expert,Programmation,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Cloud Engineer,Sécurité,Licence 3,Cloud Computing,AWS Solutions Architect
Visuel,Cybersecurity Expert,Programmation,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Data Scientist,Mathématiques,Master 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Software Architect,Sécurité,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Cloud Engineer,Mathématiques,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Cybersecurity Expert,Systèmes embarqués,Licence 2,Développement Web,React.js et Node.js
Auditif,Cybersecurity Expert,Sécurité,Master 2,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Software Architect,Systèmes embarqués,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Cloud Engineer,Programmation,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Cybersecurity Expert,IA,Master 1,Cloud Computing,AWS Solutions Architect
Visuel,Cybersecurity Expert,Sécurité,Licence 1,Développement Web,React.js et Node.js
Auditif,Cybersecurity Expert,Systèmes embarqués,Licence 1,Cloud Computing,AWS Solutions Architect
Auditif,Cybersecurity Expert,Programmation,Licence 3,Développement Web,React.js et Node.js
Visuel,Data Scientist,Sécurité,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Software Architect,Sécurité,Licence 1,Développement Web,React.js et Node.js
Auditif,Cloud Engineer,Programmation,Licence 2,Cloud Computing,AWS Solutions Architect
Auditif,Software Architect,Sécurité,Master 2,Cloud Computing,AWS Solutions Architect
Auditif,DevOps Engineer,Sécurité,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Auditif,Software Architect,Sécurité,Licence 3,Développement Web,React.js et Node.js
Kinesthésique,Cloud Engineer,Mathématiques,Licence 3,Développement Web,React.js et Node.js
Visuel,DevOps Engineer,Programmation,Master 2,Machine Learning,Deep Learning avec TensorFlow
Visuel,Software Architect,IA,Licence 1,Développement Web,React.js et Node.js
Kinesthésique,Data Scientist,Mathématiques,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,DevOps Engineer,IA,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Cybersecurity Expert,IA,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Auditif,Cloud Engineer,Systèmes embarqués,Licence 2,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Cloud Engineer,Programmation,Master 2,Développement Web,React.js et Node.js
Lecture/Écriture,Software Architect,Mathématiques,Master 1,Développement Web,React.js et Node.js
Auditif,Software Architect,Programmation,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Auditif,DevOps Engineer,Mathématiques,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Data Scientist,Mathématiques,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Visuel,Data Scientist,Systèmes embarqués,Licence 3,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Cloud Engineer,Programmation,Master 2,Cloud Computing,AWS Solutions Architect
Auditif,Cloud Engineer,Mathématiques,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Data Scientist,Sécurité,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Cybersecurity Expert,IA,Master 2,Développement Web,React.js et Node.js
Lecture/Écriture,Data Scientist,Mathématiques,Licence 3,Cloud Computing,AWS Solutions Architect
Auditif,Data Scientist,Systèmes embarqués,Licence 1,Développement Web,React.js et Node.js
Visuel,DevOps Engineer,Programmation,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Cloud Engineer,Mathématiques,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Data Scientist,Systèmes embarqués,Master 1,Machine Learning,Deep Learning avec TensorFlow
Auditif,DevOps Engineer,Mathématiques,Licence 3,Cloud Computing,AWS Solutions Architect
Auditif,Software Architect,Mathématiques,Licence 3,Développement Web,React.js et Node.js
Visuel,Cybersecurity Expert,Programmation,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,DevOps Engineer,Sécurité,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Data Scientist,Programmation,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Auditif,Cloud Engineer,Mathématiques,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cloud Engineer,Systèmes embarqués,Licence 3,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,DevOps Engineer,Mathématiques,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Data Scientist,IA,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cybersecurity Expert,Mathématiques,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Data Scientist,Sécurité,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Data Scientist,Programmation,Master 1,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Cloud Engineer,Sécurité,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Visuel,DevOps Engineer,Programmation,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Visuel,Cloud Engineer,Programmation,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Data Scientist,Sécurité,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Cybersecurity Expert,Mathématiques,Licence 1,Développement Web,React.js et Node.js
Lecture/Écriture,Data Scientist,Programmation,Master 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Cybersecurity Expert,Sécurité,Master 2,Développement Web,React.js et Node.js
Kinesthésique,Data Scientist,Programmation,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Software Architect,IA,Licence 3,Développement Web,React.js et Node.js
Kinesthésique,Data Scientist,Systèmes embarqués,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Software Architect,IA,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Data Scientist,Programmation,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Cloud Engineer,Programmation,Licence 1,Développement Web,React.js et Node.js
Auditif,Software Architect,Systèmes embarqués,Licence 1,Cloud Computing,AWS Solutions Architect
Kinesthésique,Cybersecurity Expert,Sécurité,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Data Scientist,IA,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Data Scientist,Mathématiques,Licence 2,Développement Web,React.js et Node.js
Lecture/Écriture,DevOps Engineer,IA,Licence 3,Développement Web,React.js et Node.js
Auditif,DevOps Engineer,IA,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,DevOps Engineer,Mathématiques,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,DevOps Engineer,Systèmes embarqués,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Visuel,DevOps Engineer,Programmation,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Data Scientist,Programmation,Master 1,Cloud Computing,AWS Solutions Architect
Visuel,Cloud Engineer,Systèmes embarqués,Master 1,Développement Web,React.js et Node.js
Lecture/Écriture,Cybersecurity Expert,Programmation,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Cybersecurity Expert,Systèmes embarqués,Master 1,Développement Web,React.js et Node.js
Kinesthésique,Data Scientist,IA,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Cloud Engineer,Mathématiques,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Data Scientist,Mathématiques,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Auditif,DevOps Engineer,IA,Licence 1,Développement Web,React.js et Node.js
Auditif,Software Architect,Systèmes embarqués,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Cloud Engineer,IA,Master 2,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Cloud Engineer,Sécurité,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,DevOps Engineer,Systèmes embarqués,Licence 3,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Data Scientist,Mathématiques,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Software Architect,Mathématiques,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Software Architect,Mathématiques,Master 1,Cloud Computing,AWS Solutions Architect
Kinesthésique,Data Scientist,IA,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,DevOps Engineer,IA,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,DevOps Engineer,Programmation,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cybersecurity Expert,Sécurité,Master 1,Cloud Computing,AWS Solutions Architect
Auditif,Cybersecurity Expert,Mathématiques,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,DevOps Engineer,Systèmes embarqués,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Software Architect,Sécurité,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cybersecurity Expert,IA,Licence 3,Cloud Computing,AWS Solutions Architect
Kinesthésique,Data Scientist,IA,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,DevOps Engineer,Mathématiques,Master 2,Développement Web,React.js et Node.js
Visuel,Cybersecurity Expert,Programmation,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cloud Engineer,Sécurité,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,DevOps Engineer,IA,Licence 1,Cloud Computing,AWS Solutions Architect
Visuel,Cloud Engineer,Programmation,Licence 3,Développement Web,React.js et Node.js
Visuel,Data Scientist,Mathématiques,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Data Scientist,Sécurité,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Visuel,DevOps Engineer,IA,Master 1,Développement Web,React.js et Node.js
Visuel,Data Scientist,Mathématiques,Master 2,Cloud Computing,AWS Solutions Architect
Visuel,Data Scientist,Programmation,Licence 3,Cloud Computing,AWS Solutions Architect
Auditif,Software Architect,Programmation,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Data Scientist,Systèmes embarqués,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cloud Engineer,Programmation,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Software Architect,Mathématiques,Licence 1,Développement Web,React.js et Node.js
Visuel,Software Architect,Programmation,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Software Architect,Mathématiques,Master 2,Développement Web,React.js et Node.js
Auditif,DevOps Engineer,Sécurité,Master 1,Développement Web,React.js et Node.js
Lecture/Écriture,DevOps Engineer,Sécurité,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Cybersecurity Expert,Systèmes embarqués,Master 2,Cloud Computing,AWS Solutions Architect
Kinesthésique,Cybersecurity Expert,Systèmes embarqués,Licence 2,Cloud Computing,AWS Solutions Architect
Kinesthésique,Software Architect,Programmation,Licence 2,Développement Web,React.js et Node.js
Visuel,Data Scientist,IA,Master 1,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Cybersecurity Expert,IA,Licence 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Cybersecurity Expert,IA,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cloud Engineer,Systèmes embarqués,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Data Scientist,Mathématiques,Master 1,Développement Web,React.js et Node.js
Auditif,Software Architect,Mathématiques,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Cloud Engineer,Sécurité,Licence 3,Développement Web,React.js et Node.js
Visuel,Data Scientist,Mathématiques,Licence 3,Cloud Computing,AWS Solutions Architect
Auditif,Software Architect,IA,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,DevOps Engineer,Mathématiques,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Cloud Engineer,Sécurité,Master 1,Cloud Computing,AWS Solutions Architect
Visuel,DevOps Engineer,IA,Licence 3,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Cloud Engineer,IA,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Cybersecurity Expert,Systèmes embarqués,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Cloud Engineer,Programmation,Licence 3,Cloud Computing,AWS Solutions Architect
Visuel,Cloud Engineer,Sécurité,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,DevOps Engineer,IA,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Visuel,DevOps Engineer,Systèmes embarqués,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Data Scientist,Mathématiques,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Cybersecurity Expert,IA,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cybersecurity Expert,IA,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,DevOps Engineer,IA,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Cloud Engineer,Systèmes embarqués,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cybersecurity Expert,Programmation,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,DevOps Engineer,IA,Licence 3,Développement Web,React.js et Node.js
Visuel,DevOps Engineer,Systèmes embarqués,Master 2,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Cybersecurity Expert,Systèmes embarqués,Licence 3,Développement Web,React.js et Node.js
Kinesthésique,DevOps Engineer,Programmation,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Auditif,Cloud Engineer,Sécurité,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Data Scientist,Mathématiques,Master 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,DevOps Engineer,IA,Master 1,Machine Learning,Deep Learning avec TensorFlow
Visuel,DevOps Engineer,Systèmes embarqués,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Cybersecurity Expert,Sécurité,Master 1,Cloud Computing,AWS Solutions Architect
Auditif,DevOps Engineer,IA,Licence 1,Développement Web,React.js et Node.js
Lecture/Écriture,Cybersecurity Expert,Programmation,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Cybersecurity Expert,Sécurité,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Cybersecurity Expert,Mathématiques,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Software Architect,IA,Master 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cloud Engineer,Programmation,Licence 3,Cloud Computing,AWS Solutions Architect
Kinesthésique,DevOps Engineer,Sécurité,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Cybersecurity Expert,IA,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cloud Engineer,Sécurité,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cloud Engineer,IA,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Software Architect,Mathématiques,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Software Architect,IA,Licence 3,Développement Web,React.js et Node.js
Visuel,Software Architect,IA,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cloud Engineer,IA,Licence 2,Cloud Computing,AWS Solutions Architect
Auditif,Software Architect,Programmation,Master 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Data Scientist,IA,Licence 3,Développement Web,React.js et Node.js
Kinesthésique,Data Scientist,Systèmes embarqués,Master 1,Développement Web,React.js et Node.js
Kinesthésique,Software Architect,IA,Licence 1,Développement Web,React.js et Node.js
Visuel,Software Architect,Programmation,Master 2,Développement Web,React.js et Node.js
Auditif,Software Architect,Mathématiques,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Auditif,Software Architect,Mathématiques,Master 1,Cloud Computing,AWS Solutions Architect
Kinesthésique,DevOps Engineer,Mathématiques,Master 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Cloud Engineer,Systèmes embarqués,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Software Architect,Mathématiques,Licence 1,Cloud Computing,AWS Solutions Architect
Visuel,Data Scientist,Systèmes embarqués,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Software Architect,Mathématiques,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Cloud Engineer,Sécurité,Licence 3,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Data Scientist,Programmation,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Cloud Engineer,IA,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Software Architect,Programmation,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Software Architect,Systèmes embarqués,Master 2,Cloud Computing,AWS Solutions Architect
Kinesthésique,Data Scientist,Programmation,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Cloud Engineer,IA,Master 1,Machine Learning,Deep Learning avec TensorFlow
Visuel,Data Scientist,Sécurité,Master 2,Machine Learning,Deep Learning avec TensorFlow
Visuel,Software Architect,IA,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Cloud Engineer,Systèmes embarqués,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Cloud Engineer,Systèmes embarqués,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,DevOps Engineer,Mathématiques,Master 1,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,DevOps Engineer,Programmation,Master 2,Développement Web,React.js et Node.js
Kinesthésique,Data Scientist,Sécurité,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,DevOps Engineer,IA,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Software Architect,IA,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,DevOps Engineer,Sécurité,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Software Architect,Sécurité,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cybersecurity Expert,Programmation,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Data Scientist,Programmation,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Visuel,DevOps Engineer,IA,Licence 1,Cloud Computing,AWS Solutions Architect
Auditif,Cybersecurity Expert,Mathématiques,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Cybersecurity Expert,Systèmes embarqués,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Cybersecurity Expert,Systèmes embarqués,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Software Architect,Sécurité,Licence 3,Cloud Computing,AWS Solutions Architect
Kinesthésique,Cloud Engineer,Sécurité,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cybersecurity Expert,Programmation,Master 1,Cloud Computing,AWS Solutions Architect
Kinesthésique,Data Scientist,Mathématiques,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Data Scientist,Sécurité,Master 1,Machine Learning,Deep Learning avec TensorFlow
Visuel,Data Scientist,Systèmes embarqués,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Software Architect,Mathématiques,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Cybersecurity Expert,Mathématiques,Master 1,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cybersecurity Expert,IA,Master 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Data Scientist,Systèmes embarqués,Licence 1,Développement Web,React.js et Node.js
Lecture/Écriture,Cloud Engineer,Systèmes embarqués,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Data Scientist,Sécurité,Master 1,Développement Web,React.js et Node.js
Lecture/Écriture,Cloud Engineer,Sécurité,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Cybersecurity Expert,Systèmes embarqués,Licence 1,Cloud Computing,AWS Solutions Architect
Auditif,Data Scientist,Systèmes embarqués,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Data Scientist,Systèmes embarqués,Licence 3,Développement Web,React.js et Node.js
Visuel,Cloud Engineer,Sécurité,Licence 1,Cloud Computing,AWS Solutions Architect
Kinesthésique,DevOps Engineer,IA,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,DevOps Engineer,IA,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Cybersecurity Expert,Mathématiques,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Visuel,Software Architect,Mathématiques,Master 2,Cloud Computing,AWS Solutions Architect
Visuel,DevOps Engineer,Programmation,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Cybersecurity Expert,IA,Master 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Data Scientist,Systèmes embarqués,Master 1,Cloud Computing,AWS Solutions Architect
Visuel,Cloud Engineer,Mathématiques,Licence 3,Développement Web,React.js et Node.js
Visuel,Software Architect,Mathématiques,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Cloud Engineer,Mathématiques,Licence 1,Développement Web,React.js et Node.js
Lecture/Écriture,Data Scientist,IA,Master 2,Développement Web,React.js et Node.js
Auditif,DevOps Engineer,IA,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Cloud Engineer,Mathématiques,Master 2,Développement Web,React.js et Node.js
Kinesthésique,Software Architect,IA,Licence 3,Développement Web,React.js et Node.js
Kinesthésique,DevOps Engineer,Systèmes embarqués,Licence 2,Développement Web,React.js et Node.js
Auditif,Cybersecurity Expert,Sécurité,Master 2,Développement Web,React.js et Node.js
Lecture/Écriture,DevOps Engineer,Programmation,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Visuel,DevOps Engineer,Sécurité,Licence 2,Développement Web,React.js et Node.js
Visuel,Cybersecurity Expert,Systèmes embarqués,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Cloud Engineer,Systèmes embarqués,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Data Scientist,Programmation,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,DevOps Engineer,IA,Master 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Data Scientist,IA,Licence 3,Développement Web,React.js et Node.js
Visuel,Data Scientist,Mathématiques,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Auditif,Cloud Engineer,Sécurité,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Cloud Engineer,Sécurité,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Software Architect,Systèmes embarqués,Licence 3,Développement Web,React.js et Node.js
Visuel,DevOps Engineer,Programmation,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Cloud Engineer,Programmation,Licence 3,Développement Web,React.js et Node.js
Visuel,DevOps Engineer,Sécurité,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Software Architect,Sécurité,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cloud Engineer,Sécurité,Master 1,Cloud Computing,AWS Solutions Architect
Visuel,Software Architect,IA,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,DevOps Engineer,Sécurité,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,DevOps Engineer,Mathématiques,Licence 2,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Data Scientist,Sécurité,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cloud Engineer,Programmation,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Data Scientist,Sécurité,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Cloud Engineer,Sécurité,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Data Scientist,Systèmes embarqués,Licence 2,Développement Web,React.js et Node.js
Auditif,Cloud Engineer,Mathématiques,Master 2,Machine Learning,Deep Learning avec TensorFlow
